"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Felix Hernandez",10400,"Sea@Oak 10:05PM ET",20.940,"Sea"
"SP","Sonny Gray",9000,"Sea@Oak 10:05PM ET",15.950,"Oak"
"SP","Cesar Vargas",8900,"Col@SD 10:10PM ET",14.825,"SD"
"SP","Taijuan Walker",8700,"Sea@Oak 10:05PM ET",20.340,"Sea"
"SP","Jorge De La Rosa",8500,"Col@SD 10:10PM ET",6.670,"Col"
"SP","Danny Hultzen",8500,"Sea@Oak 10:05PM ET",0,"Sea"
"SP","Chad Bettis",8200,"Col@SD 10:10PM ET",14.808,"Col"
"SP","Tyler Chatwood",8200,"Col@SD 10:10PM ET",15.470,"Col"
"SP","Rich Hill",8100,"Sea@Oak 10:05PM ET",20.267,"Oak"
"SP","Tyson Ross",8000,"Col@SD 10:10PM ET",0.800,"SD"
"SP","Hisashi Iwakuma",8000,"Sea@Oak 10:05PM ET",11.910,"Sea"
"SP","Jon Gray",7900,"Col@SD 10:10PM ET",5.050,"Col"
"SP","James Shields",7800,"Col@SD 10:10PM ET",13.250,"SD"
"SP","Nathan Karns",7600,"Sea@Oak 10:05PM ET",17.413,"Sea"
"SP","Wade Miley",7400,"Sea@Oak 10:05PM ET",13.720,"Sea"
"SP","Sean Manaea",7300,"Sea@Oak 10:05PM ET",3.850,"Oak"
"SP","Brandon Morrow",7000,"Col@SD 10:10PM ET",0,"SD"
"SP","Andrew Cashner",6800,"Col@SD 10:10PM ET",10.330,"SD"
"SP","Jesse Hahn",6800,"Sea@Oak 10:05PM ET",24.000,"Oak"
"SP","Jarrod Parker",6700,"Sea@Oak 10:05PM ET",0,"Oak"
"SP","Jordan Lyles",6300,"Col@SD 10:10PM ET",2.838,"Col"
"SP","Christian Bergman",6200,"Col@SD 10:10PM ET",4.342,"Col"
"SP","Robbie Erlin",6100,"Col@SD 10:10PM ET",14.083,"SD"
"SP","Tyler Matzek",6000,"Col@SD 10:10PM ET",0,"Col"
"SP","Chris Bassitt",5800,"Sea@Oak 10:05PM ET",8.320,"Oak"
"SP","Kendall Graveman",5800,"Sea@Oak 10:05PM ET",14.013,"Oak"
"SP","Henderson Alvarez",5600,"Sea@Oak 10:05PM ET",0,"Oak"
"SP","Colin Rea",5600,"Col@SD 10:10PM ET",8.271,"SD"
"SP","Felix Doubront",5400,"Sea@Oak 10:05PM ET",0,"Oak"
"SP","Chris Rusin",5400,"Col@SD 10:10PM ET",10.440,"Col"
"SP","Drew Pomeranz",5200,"Col@SD 10:10PM ET",21.890,"SD"
"SP","Eric Surkamp",5200,"Sea@Oak 10:05PM ET",3.525,"Oak"
"SP","Antonio Senzatela",5200,"Col@SD 10:10PM ET",0,"Col"
"SP","Eddie Butler",5000,"Col@SD 10:10PM ET",10.050,"Col"
"2B","Robinson Cano",4900,"Sea@Oak 10:05PM ET",9.292,"Sea"
"OF","Nelson Cruz",4300,"Sea@Oak 10:05PM ET",7.833,"Sea"
"RP","Mike Montgomery",4200,"Sea@Oak 10:05PM ET",4.056,"Sea"
"3B","Nolan Arenado",4100,"Col@SD 10:10PM ET",12.000,"Col"
"SS","Trevor Story",4100,"Col@SD 10:10PM ET",11.565,"Col"
"RP","Joaquin Benoit",4000,"Sea@Oak 10:05PM ET",2.608,"Sea"
"RP","Fernando Rodney",4000,"Col@SD 10:10PM ET",3.519,"SD"
"RP","Ryan Madson",4000,"Sea@Oak 10:05PM ET",3.177,"Oak"
"RP","Joel Peralta",4000,"Sea@Oak 10:05PM ET",3.970,"Sea"
"RP","Chad Qualls",4000,"Col@SD 10:10PM ET",1.738,"Col"
"RP","Carlos Villanueva",4000,"Col@SD 10:10PM ET",2.570,"SD"
"SP","Josh Johnson",4000,"Col@SD 10:10PM ET",0,"SD"
"RP","Jason Motte",4000,"Col@SD 10:10PM ET",0,"Col"
"RP","Matt Thornton",4000,"Col@SD 10:10PM ET",0,"SD"
"RP","Boone Logan",4000,"Col@SD 10:10PM ET",2.863,"Col"
"RP","Fernando Rodriguez",4000,"Sea@Oak 10:05PM ET",5.250,"Oak"
"RP","Jake McGee",4000,"Col@SD 10:10PM ET",0.589,"Col"
"RP","Michael Kirkman",4000,"Col@SD 10:10PM ET",-8.600,"SD"
"RP","Ryan Buchter",4000,"Col@SD 10:10PM ET",4.308,"SD"
"RP","Adam Ottavino",4000,"Col@SD 10:10PM ET",0,"Col"
"RP","Jon Edwards",4000,"Col@SD 10:10PM ET",0,"SD"
"RP","John Axford",4000,"Sea@Oak 10:05PM ET",3.614,"Oak"
